,Popularity
1191,67.0
1733,44.0
690,79.0
1620,64.0
1863,63.0
689,28.0
851,74.0
159,58.0
895,63.0
1564,73.0
257,59.0
335,59.0
1867,58.0
1039,32.0
515,66.0
1348,75.0
1015,64.0
768,52.0
1735,75.0
761,52.0
1246,33.0
1203,41.0
1457,46.0
1970,34.0
521,57.0
22,55.0
356,55.0
1277,77.0
1312,61.0
1671,70.0
340,52.0
431,48.0
473,64.0
217,47.0
911,66.0
1227,62.0
1901,65.0
1011,75.0
1936,67.0
93,41.0
1008,56.0
1070,51.0
1092,55.0
1574,67.0
1308,52.0
696,33.0
1781,68.0
996,61.0
153,44.0
1099,66.0
1711,49.0
1984,74.0
789,72.0
580,47.0
703,63.0
1212,35.0
1295,79.0
1654,63.0
1260,46.0
487,73.0
559,76.0
1141,52.0
1119,42.0
801,71.0
512,67.0
633,57.0
1468,64.0
1776,39.0
1789,62.0
1150,66.0
790,56.0
116,51.0
740,23.0
1679,58.0
1081,50.0
830,72.0
119,64.0
656,36.0
1894,69.0
635,54.0
369,69.0
268,61.0
655,75.0
935,37.0
822,76.0
866,24.0
46,43.0
1373,66.0
1697,53.0
991,60.0
876,63.0
773,86.0
1219,47.0
1986,56.0
4,59.0
1003,75.0
1712,78.0
263,76.0
1558,55.0
1819,65.0
443,69.0
1002,78.0
1077,54.0
837,79.0
1779,61.0
304,43.0
1365,69.0
1546,69.0
313,63.0
149,62.0
1148,40.0
1213,24.0
574,52.0
50,69.0
1541,68.0
726,30.0
833,67.0
1377,54.0
1115,78.0
1166,43.0
470,75.0
971,70.0
653,73.0
399,72.0
511,58.0
320,54.0
19,74.0
684,74.0
35,44.0
902,47.0
827,64.0
1785,44.0
407,27.0
920,65.0
537,70.0
758,81.0
1891,70.0
1062,68.0
1199,74.0
245,30.0
1416,45.0
1127,73.0
784,95.0
1731,71.0
489,44.0
154,44.0
961,77.0
853,68.0
1311,53.0
625,42.0
685,76.0
1550,70.0
569,65.0
1900,37.0
17,57.0
127,68.0
1346,53.0
1279,53.0
1955,42.0
927,68.0
980,54.0
1951,73.0
190,39.0
1139,62.0
992,27.0
1942,76.0
1645,55.0
606,69.0
180,35.0
301,71.0
496,83.0
1684,29.0
1846,70.0
1650,58.0
1627,45.0
517,66.0
1971,64.0
1069,60.0
476,49.0
157,39.0
1243,54.0
1195,58.0
16,69.0
1535,63.0
1072,47.0
1958,69.0
546,75.0
1539,66.0
658,62.0
1614,48.0
1019,72.0
1651,71.0
1504,54.0
959,51.0
1869,67.0
283,72.0
797,45.0
1615,72.0
225,75.0
26,56.0
1759,47.0
437,76.0
1935,36.0
1388,71.0
229,53.0
37,40.0
749,32.0
1045,68.0
1398,73.0
469,71.0
1681,61.0
1954,50.0
687,88.0
1832,75.0
639,33.0
1701,32.0
1218,59.521766006351626
1158,78.0
1415,42.0
1527,77.0
1644,75.0
1300,41.0
1811,70.0
800,68.0
1603,59.0
160,52.0
956,55.0
1186,67.0
821,73.0
1670,49.0
877,71.0
913,70.0
152,38.0
1825,71.0
1765,51.0
509,41.0
1135,66.0
1250,71.0
1652,63.0
103,40.0
1445,53.0
1443,50.0
586,65.0
1794,57.0
1143,44.0
53,52.0
151,38.0
403,43.0
1929,56.0
207,72.0
1882,45.0
1122,77.0
1739,35.0
8,77.0
1014,67.0
1784,53.0
1060,57.0
452,51.0
253,57.0
1327,55.0
896,75.0
1783,72.0
880,64.0
1595,58.0
1876,68.0
623,74.0
345,76.0
1691,62.0
262,81.0
1634,72.0
1321,80.0
1438,57.0
150,49.0
472,39.0
640,58.0
1969,73.0
1870,48.0
550,53.0
1768,50.0
928,67.0
488,69.0
1800,44.0
1171,76.0
146,44.0
1693,57.0
1915,74.0
402,64.0
954,43.0
1865,65.0
659,74.0
1372,64.0
463,73.0
1349,47.0
186,58.0
1147,40.0
1224,71.0
608,29.0
143,74.0
751,16.41172473422101
1534,55.0
981,69.0
197,73.0
1633,59.0
883,71.0
279,79.0
293,75.0
1812,38.0
400,53.0
122,39.0
1207,81.0
202,51.0
1462,70.0
835,69.0
246,53.0
1439,46.0
1742,45.0
1888,62.0
1707,37.0
1868,66.0
1153,74.0
1661,69.0
1426,63.0
384,61.0
1747,57.0
854,54.0
1589,58.0
219,75.0
641,73.0
1,39.0
112,80.0
698,66.0
1902,41.0
951,64.0
1648,57.0
1636,95.0
1737,66.0
1410,43.0
1409,51.0
1533,75.0
1291,71.0
1797,77.0
441,72.0
1520,81.0
1136,64.0
1715,77.0
1256,39.0
1852,62.0
1631,79.0
1695,59.0
1397,42.0
663,59.0
1824,73.0
1257,62.0
1820,74.0
1700,80.0
317,74.0
648,40.0
1434,42.0
1479,51.0
709,54.0
1382,60.0
1282,72.0
972,68.0
627,68.0
632,78.0
1306,70.0
1400,44.0
1408,81.0
1248,65.0
1939,59.0
1254,38.0
1496,77.0
1371,57.0
1529,49.0
1663,58.0
1354,59.0
1912,66.0
1887,70.0
1643,56.0
1837,69.0
795,80.0
645,47.0
1012,61.0
1828,74.0
556,41.0
681,41.0
577,84.0
1109,41.0
1266,67.0
1722,60.0
1183,58.0
524,82.0
1059,50.0
540,72.0
1194,59.0
1678,44.0
748,80.0
1840,46.0
1430,77.0
484,73.0
1757,43.0
95,75.0
1020,71.0
563,61.0
1264,75.0
742,83.0
863,67.0
1598,66.0
1714,67.0
1484,55.0
891,75.0
1577,51.0
1038,72.0
206,34.0
392,54.0
794,65.0
870,62.0
397,56.0
766,26.0
1830,71.0
1241,57.0
1028,75.0
